iter	Passed	Remaining
0	1	1523
1	2	1074
2	2	889
3	3	788
4	3	750
5	4	747
6	5	738
7	6	766
8	6	737
9	6	682
10	7	667
11	7	654
12	8	643
13	9	634
14	9	618
15	10	624
16	10	622
17	11	615
18	11	609
19	12	603
20	20	945
21	20	932
22	21	907
23	21	889
24	22	873
25	29	1104
26	31	1150
27	32	1144
28	3329	35	1156
30	36	1129
31	36	1111
32	38	1127
33	39	1108
34	40	1116
35	42	1129
36	42	1112
37	43	1095
38	43	1078
39	44	1063
40	45	1053
41	46	1050
42	46	1036
43	47	1022
44	47	1010
45	48	1001
46	50	1016
47	50	1007
48	51	998
49	51	987
50	52	976
51	52	965
52	53	960
53	56	984
54	56	977
55	57	967
56	58	969
57	59	961
58	59	952
59	60	943
60	60	934
61	61	927
62	61	919
63	62	911
64	64	931
65	65	926
66	66	919
67	66	912
68	67	905
69	67	898
70	68	891
71	68	887
72	69	877
73	69	871
74	70	864
75	70	859
76	71	853
77	71	849
78	72	845
79	73	839
80	73	834
81	74	829
82	74	823
83	74	817
84	75	813
85	76	808
86	77	810
87	77	807
88	78	802
89	79	799
90	79	796
91	80	792
92	81	791
93	81	787
94	82	783
95	82	776
96	82	772
97	83	768
98	83	764
99	84	761
100	85	757
101	85	754
102	85	748
103	86	744
104	86	741
105	87	739
106	88	737
107	88	734
108	90	738
109	90	733
110	91	731
111	91	727
112	92	727
113	93	724
114	93	721
115	95	726
116	95	723
117	96	720
118	96	717
119	97	714
120	98	713
121	98	711
122	99	709
123	101	716
124	102	714
125	102	711
126	103	710
127	105	721
128	106	718
129	107	716
130	107	7131131	108	7113132	108	7013133	109	7013134	109	7013135	110	70137	102	641
138	103	639
139	103	638
140	104	636
141	104	633
142	105	631
143	105	629
144	106	627
145	107	626
146	107	625
147	108	623
148	108	621
149	109	620
150	110	620
151	110	618
152	111	616
153	112	615
154	112	613
155	113	611
156	113	610
157	114	608
158	114	606
159	115	604
160	115	603
161	116	602
162	117	601
163	117	599
164	118	598
165	118	596
166	119	594
167	119	594
168	120	592
169	121	592
170	122	591
171	122	589
172	123	588
173	123	587
174	124	585
175	124	584
176	125	583
177	125	581
178	126	580
179	127	578
180	127	577
181	132	596
182	133	595
183	133	594
184	134	593
185	135	592
186	137	599
187	138	598
188	139	596
189	141	602
190	141	600
191	142	598
192	142	597
193	143	595
194	143	593
195	144	592
196	145	594
197	146	592
198	146	591
199	147	590
200	148	589
201	148	588
202	149	586
203	150	586
204	150	585
205	151	584
206	152	582
207	152	582
208	153	581
209	154	581
210	155	579
211	155	578
212	156	577
213	156	575
214	157	574
215	157	572
216	158	571
217	158	570
218	159	570
219	160	569
220	161	568
221	162	567
222	162	566
223	163	565
224	163	563
225	164	562
226	164	561
227	165	559
228	165	558
229	166	556
230	166	555
231	167	554
232	168	553
233	168	552
234	169	550
235	169	550
236	170	549
237	171	548
238	171	546
239	172	545
240	173	546
24240	181	5724241	182	5724242	183	5724243	183	5624244	184	5624245	184	5624246	186	5624247	187	5624248	188	5625249	188	5625250	189	5625251	190	5625252	193	570
253	193	568
254	194	569
255	195	568
256	196	567
257	197	566
258	197	565
259	198	564
260	198	562
261	199	561
262	199	560
263	200	558
264	201	558
265	201	556
266	202	555
267	202	553
268	203	553
269	204	551
270	204	550
271	205	549
272	206	549
273	206	548
274	207	547
275	208	546
276	208	544
277	209	543
278	209	542
279	211	543
280	212	542
281	213	542
282	213	541
283	214	540
284	214	538
285	215	537
286	216	537
287	216	5328288	217	534
289	217	5329290	218	5329291	219	5329292	219	5229293	220	5229294	220	5229295	222	5229296	222	5229297	223	5229298	223	5230299	224	5230300	225	52302	218	501
303	218	500
304	219	499
305	219	498
306	220	498
307	221	497
308	223	499
309	224	499
310	225	499
311	225	497
312	226	496
313	227	496
314	227	495
315	228	493
316	228	492
317	229	491
318	229	490
319	231	491
320	231	490
321	232	489
322	233	488
323	233	487
324	234	486
325	234	485
326	235	484
327	236	483
328	236	482
329	237	481
330	237	480
331	238	480
332	239	479
333	240	479
334	240	478
335	241	477
336	242	477
337	243	475
338	243	475
339	244	474
340	244	473
341	245	472
342	246	471
343	246	470
344	247	469
345	247	468
346	248	467
347	249	466
348	249	465
349	250	464
350	250	463
351	251	462
352	251	461
353	252	460
354	252	459
355	253	458
356	255	460
357	256	459
358	256	458
359	257	457
360	259	458
361	259	457
362	260	457
363	261	456
364	262	456
365	262	455
366	263	454
367	264	453
368	264	452
369	265	451
370	265	450
371	267	451
372	267	450
373	268	449
374	269	448
375	270	448
376	270	447
377	272	448
378	273	448
379	274	447
380	275	447
381	275	446
382	276	445
38382	285	46384	278	445
385	279	444
386	279	443
387	280	442
388	281	441
389	281	440
390	282	439
391	282	438
392	283	437
393	283	436
394	284	435
39394	292	4439395	294	4439396	297	451
397	297	450
398	298	449
399	321	481
400	326	4840401	327	48403	352	520
404	362	532
405	362	530
406	363	529
407	364	529
408	367	530
409	368	530
410	370	530
411	371	529
412	371	528
413	372	526
414	372	525
415	373	523
41415	348	4841416	349	4841417	350	4841418	350	48420	381	524
42420	351	4842421	352	4842422	352	48424	383	518
42424	353	4742425	354	4742426	355	4742427	356	4742428	357	4743429	357	4743430	358	4743431	358	4743432	359	47434	390	507
435	391	506
436	392	505
437	392	503
438	393	502
439	394	501
440	394	500
441	395	498
442	395	497
443	396	496
444	396	494
445	397	493
446	397	492
447	398	491
448	399	489
449	399	488
45449	370	4545450	371	451
451	372	451
452	372	449
453	373	449
454	374	448
455	374	447
456	375	446
457	376	445
458	376	443
459	377	443
460	378	442
461	378	441
462	379	439
463	379	438
464	380	437
465	380	436
466	381	435
467	381	434
468	382	432
469	382	431
470	383	430
471	384	429
472	384	428
473	385	427
474	385	426
475	386	425
476	387	424
477	387	423
478	388	422
479	388	421
480	389	4248481	389	4148482	390	4148483	390	4148484	391	4148485	391	4148486	392	4148487	393	4148488	393	4149489	394	4149490	394	4049491	395	4049492	396	4049493	397	4049494	399	407
495	399	406
496	400	405
497	400	404
498	401	403
499	401	401
500	402	400
501	403	399
502	404	399
503	405	399
504	406	398
505	406	397
506	407	396
507	408	395
508	409	394
509	410	394
510	410	393
511	411	392
512	412	391
513	412	390
514	413	3851515	414	3851516	415	388
517	418	389
518	421	390
519	422	389
520	423	388
521	423	387
522	424	386
523	424	385
524	425	384
525	425	383
526	426	382
527	426	381
528	427	380
529	427	379
530	428	378
531	429	377
532	429	376
533	430	375
534	430	374
535	431	373
536	432	372
537	432	371
538	433	371
539	434	370
540	435	369
541	435	368
542	438	368
543	438	367
544	439	366
545	441	366
546	441	365
547	442	364
548	443	363
549	443	362
550	444	361
551	444	360
552	445	359
553	445	358
554	446	357
555	446	356
556	447	355
557	447	354
558	449	354
559	450	353
560	450	352
561	451	351
562	452	351
563	453	350
564	453	349
565	454	348
566	454	347
567	455	346
568	455	345
569	456	344
570	456	343
571	457	342
572	457	341
573	458	340
574	459	339
575	460	338
576	461	338
577	461	337
578	462	336
579	462	335
580	463	334
581	464	333
582	465	332
583	465	331
584	466	330
585	466	329
586	467	328
587	468	328
588	468	327
589	469	326
590	469	325
591	470	324
592	470	323
593	471	322
594	472	321
595	472	320
596	473	319
597	473	318
598	474	317
599	475	316
600	475	315
601	477	315
602	477	314
603	478	313
604	479	312
605	480	312
606	480	311
607	482	310
608	483	310
609	484	3061610	487	310
611	488	309
612	489	308
613	489	307
614	490	306
615	490	305
616	491	305
617	492	304
618	492	303
619	493	302
620	494	301
621	495	301
622	496	300
623	497	299
624	497	298
625	498	297
626	499	297
627	500	296
628	500	295
629	501	294
630	501	293
631	502	292
632	503	291
633	503	290
634	504	289
635	505	289
636	506	288
637	507	287
638	507	286
639	508	285
640	508	284
641	509	283
642	514	285
643	516	285
644	519	286
645	520	285
646	521	284
647	522	283
648	523	282
649	523	28651	545	291
65651	525	2865652	526	2765653	526	2765654	530	279
655	531	278
656	531	2765657	532	27659	557	286
660	557	285
661	558	284
662	559	284
66662	535	2766663	536	27665	561	281
66665	539	2766666	541	2766667	545	271
668	548	271
669	550	271
670	554	271
671	554	270
672	555	26674	578	278
675	578	277
676	583	278
677	584	277
678	587	277
679	589	277
680	594	278
681	596	278
682	597	277
683	598	276
684	599	275
685	599	274
686	600	273
687	601	272
688	602	272
689	603	270
690	603	269
691	604	268
692	604	267
693	605	266
694	605	265
695	607	265
696	608	264
697	608	263
698	609	262
699	609	261
700	610	260
701	610	259
702	611	258
703	612	257
704	612	256
705	613	255
706	613	254
707	614	253
708	614	252
709	615	251
710	615	250
711	616	249
712	617	248
713	617	247
714	618	246
715	618	245
716	619	244
717	619	243
718	620	242
719	621	241
720	622	240
721	622	239
722	623	238
723	623	237
724	624	236
725	624	235
726	625	234
727	625	233
728	626	233
729	627	232
730	627	231
731	628	230
73731	605	2273732	606	2273733	607	21735	631	226
736	633	225
737	635	225
738	638	225
739	639	224
740	640	223
741	640	222
742	641	221
743	641	220
744	642	219
745	642	218
746	643	217
747	644	216
748	644	216
749	645	215
750	646	214
751	648	213
752	648	212
753	649	211
754	649	210
755	650	209
756	650	208
757	651	207
758	651	206
759	652	206
760	652	205
761	653	204
762	654	203
763	654	202
764	655	201
765	655	200
766	656	199
767	657	198
768	657	197
769	658	196
770	658	195
771	659	194
772	660	193
773	660	192
774	661	192
775	662	191
776	662	190
777	663	189
778	663	188
779	664	187
780	665	186
781	665	185
782	666	184
783	666	183
784	668	183
785	668	182
786	669	181
787	671	180
788	671	179
78788	647	1779789	648	172
790	648	171
791	649	1779792	652	170
793	652	169
794	654	168
795	658	168
796	659	167
797	659	167
798	660	166
799	661	165
800	661	164
801	662	163
802	662	162
803	663	161
804	663	160
805	664	159
806	664	158
807	665	158
808	666	157
809	667	156
810	668	155
811	669	154
812	669	154
813	670	153
814	670	152
815	671	151
816	671	150
817	674	149
818	674	149
819	675	148
820	675	147
821	676	146
822	676	145
823	677	144
824	677	143
825	678	142
826	678	142
827	679	141
828	680	140
829	680	139
830	681	138
831	681	137
832	682	136
833	683	135
834	684	135
835	684	13837	711	137
838	712	136
839	713	135
84839	696	132
840	697	131
841	700	131
842	701	130
843	702	129
844	702	128
845	703	127
846	703	127
847	704	126
848	704	125
849	705	124
850	706	123
851	707	122
852	708	122
853	709	121
854	710	120
855	711	119
856	712	118
857	712	117
858	713	117
859	714	116
860	714	115
861	715	114
862	715	113
863	716	112
864	716	111
865	717	111
866	717	110
867	718	109
868	719	108
869	719	107
870	720	106
871	721	105
872	722	105
873	722	104
874	723	103
875	723	102
876	724	101
877	724	100
878	725	99
879	725	98
880	726	98
881	727	97
882	727	96
883	728	95
884	728	94
885	729	93
886	730	93
887	730	92
888	731	91
889	732	90
890	733	89
891	734	88
892	734	88
893	735	87
894	735	86
895	736	85
896	737	84
897	738	83
898	738	82
899	739	82
900	739	81
901	740	80
902	741	79
903	742	78
904	742	77
905	743	77
906	743	76
907	744	75
908	746	74
909	746	73
910	747	73
911	748	72
912	748	71
913	749	70
914	750	69
915	750	68
916	751	68
917	751	67
918	752	66
919	753	65
920	753	64
921	754	63
922	755	63
923	755	62
924	756	61
925	757	60
926	758	59
927	758	58
928	759	58
929	759	57
930	760	56
931	760	55
932	761	54
933	762	53
934	763	53
935	763	52
936	764	51
937	764	50
938	765	49
939	765	48
940	766	48
941	767	47
942	767	46
943	768	45
944	768	44
945	769	43
946	770	43
947	770	42
948	771	41
949	771	40
950	772	39
951	773	38
952	773	38
953	774	37
954	775	36
955	775	35
956	776	34
957	776	34
958	777	33
959	777	32
960	778	31
961	779	30
962	780	29
963	780	29
964	781	28
965	781	27
966	782	26
967	782	25
968	783	25
969	783	24
970	784	23
971	785	22
972	785	21
973	786	20
974	786	20
975	787	19
976	788	18
977	788	17
978	789	16
979	789	16
980	790	15
981	790	14
982	791	13
983	791	12
984	792	12
985	792	11
986	793	10
987	793	9
988	795	8
989	795	8
990	796	7
991	796	6
992	797	5
993	797	4
994	798	4
995	798	3
996	799	2
997	799	1
998	800	0
999	800	0
